model,bs,ips,platform,xla,prec,,,,,,
vgg16,128,200.9,clevo3080,0,fp16,,,,,,
vgg16,256,203.5,clevo3080,0,fp16,,,,,,
vgg19,32,166.2,clevo3080,0,fp16,,,,,,
vgg19,64,170.3,clevo3080,0,fp16,,,,,,
vgg19,128,170.6,clevo3080,0,fp16,,,,,,
vgg19,256,173.4,clevo3080,0,fp16,,,,,,
vgg19,32,210.4,clevo3080,1,fp16,,,,,,
vgg19,64,218.5,clevo3080,1,fp16,,,,,,
vgg19,128,212.8,clevo3080,1,fp16,,,,,,
mobilenetv2,32,750.6,clevo3080,1,fp16,,,,,,
mobilenetv2,64,847.1,clevo3080,1,fp16,,,,,,
mobilenetv2,128,687.5,clevo3080,1,fp16,,,,,,
mobilenetv2,256,913.7,clevo3080,1,fp16,,,,,,
resnet50,32,366.3,clevo3080,1,fp16,,,,,,
resnet50,64,433.7,clevo3080,1,fp16,,,,,,
resnet50,128,403.6,clevo3080,1,fp16,,,,,,
resnet50v2,32,425.1,clevo3080,1,fp16,,,,,,
resnet50v2,64,483,clevo3080,1,fp16,,,,,,
resnet50v2,128,469.7,clevo3080,1,fp16,,,,,,
resnet101v2,32,232.2,clevo3080,1,fp16,,,,,,
resnet101v2,64,271.6,clevo3080,1,fp16,,,,,,
resnet101v2,128,274.6,clevo3080,1,fp16,,,,,,
resnet152v2,32,155.9,clevo3080,1,fp16,,,,,,
resnet152v2,64,184.9,clevo3080,1,fp16,,,,,,
vgg16,32,254.9,clevo3080,1,fp16,,,,,,
vgg16,64,264.7,clevo3080,1,fp16,,,,,,
vgg16,128,254.4,clevo3080,1,fp16,,,,,,
